QSO,zabs,Ncld,vcld,N-MgII,e_NMgII,bMgII,e_b-MgII,N-FeII,e_N-FeII,b-FeII,e_b-FeII,N-MgI,e_N-MgI,b-MgI,e_b-MgI,N-MnII,e_N-MnII,b-MnII,e_b-MnII,N-CaII,e_N-CaII,b-CaII,e_b-CaII
J000149-015939,0.870821,1,-93.01,13.1,0.035,5.76,0.185,13.32,0.023,5.76,0.185,11.33,0.069,5.76,0.185,11.19,-1.0,0.0,0.0,11.14,-1.0,0.0,0.0
J000149-015939,0.870821,2,-52.58,12.59,0.241,7.99,2.502,12.53,0.237,7.99,2.502,10.69,0.482,7.99,2.502,11.27,-1.0,0.0,0.0,11.25,-1.0,0.0,0.0
J000149-015939,0.870821,3,-46.49,13.03,0.19,3.18,0.435,12.93,0.096,3.18,0.435,11.1,0.162,3.18,0.435,11.08,-1.0,0.0,0.0,11.09,-1.0,0.0,0.0
J000149-015939,0.870821,4,-32.94,12.45,0.244,5.81,1.691,12.41,0.09,5.81,1.691,11.13,-1.0,0.0,0.0,11.19,-1.0,0.0,0.0,11.21,-1.0,0.0,0.0
J000149-015939,0.870821,5,-23.87,12.51,0.373,17.61,9.999,11.47,-1.0,0.0,0.0,11.33,-1.0,0.0,0.0,11.43,-1.0,0.0,0.0,11.41,-1.0,0.0,0.0
J000149-015939,0.870821,6,7.33,13.2,0.056,8.12,0.821,12.53,0.047,8.12,0.821,11.51,0.066,8.12,0.821,11.27,-1.0,0.0,0.0,11.21,-1.0,0.0,0.0
J000149-015939,0.870821,7,26.57,13.06,0.081,10.56,2.155,12.08,0.138,10.56,2.155,11.24,0.129,10.56,2.155,11.32,-1.0,0.0,0.0,11.28,-1.0,0.0,0.0
J000149-015939,0.870821,8,49.28,12.01,0.387,11.95,8.381,11.37,-1.0,0.0,0.0,11.24,-1.0,0.0,0.0,11.32,-1.0,0.0,0.0,11.26,-1.0,0.0,0.0
J000323-260318,1.434037,1,-170.48,12.46,0.016,3.72,0.215,11.86,0.061,3.72,0.215,10.94,-1.0,0.0,0.0,10.74,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,2,-24.25,12.86,0.018,4.46,0.243,12.37,0.022,4.46,0.243,10.93,-1.0,0.0,0.0,10.73,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,3,-11.79,11.68,0.118,3.6,1.915,10.75,-1.0,0.0,0.0,10.79,0.127,3.6,1.915,10.68,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000323-260318,1.434037,4,20.44,13.18,0.014,6.66,0.16,12.71,0.013,6.66,0.16,10.99,0.088,6.66,0.16,10.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
J000344-232355,0.452397,1,-69.73,12.12,0.016,2.47,0.217,0.0,0.0,0.0,0.0,11.19,0.033,2.47,0.217,0.0,0.0,0.0,0.0,11.45,0.025,2.47,0.217
J000344-232355,0.452397,2,1.58,12.44,0.008,3.61,0.118,0.0,0.0,0.0,0.0,10.48,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,-1.0,0.0,0.0
J000344-232355,0.452397,3,46.89,11.61,0.049,14.11,2.03,0.0,0.0,0.0,0.0,10.75,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44,-1.0,0.0,0.0
J000344-232355,0.949116,1,-70.84,11.4,0.049,6.24,1.179,10.45,-1.0,0.0,0.0,10.52,-1.0,0.0,0.0,10.46,-1.0,0.0,0.0,10.36,-1.0,0.0,0.0
